1,HUM100,Intro to Humanities,12/1/16,1/6/17,Phoenix Online,3
2,COM101,Intro to Communications,12/1/16,1/6/17,Phoenix Online,3
3,POS408,.NET II,12/1/16,1/6/17,Phoenix Online,3
4,POS409,.NET I,10/25/16,11/28/16,Phoenix Online,3
5,POS420,Introdution to JAVA,12/1/16,1/6/17,Phoenix Online,3
6,PRG410,Intro to Programming C++,12/8/16,1/3/17,Phoenix Online,3
7,CMGT220,Project Administration,12/1/16,1/6/17,Phoenix Online,3
8,MAT101,Intro to Algebra,12/1/16,1/6/17,Phoenix Online,3
9,EDU210,Intro to Education,12/1/16,1/6/17,Phoenix Online,3
10,POS430,Advanced JAVA,12/1/16,1/6/17,Phoenix Online,3
